Site_Id,Read_Date,Salinity (ppt),Dissolved Oxygen (mg/L),pH (standard units),Secchi Depth (m),Water Depth (m),Water Temp (?C),Air Temp (?F),AirTemp (C)
Bay,1/3/1994,1.3,11.7,7.3,0.4,0.4,5.9,46.4,8
Bay,1/31/1994,1.5,12,7.4,0.2,0.35,3,36.68,2.6
Bay,2/7/1994,1,10.5,7.2,0.25,0.6,5.9,45.68,7.6
Bay,2/23/1994,1,10.1,7.4,0.35,0.5,10,36.86,2.7
Bay,2/28/1994,1,12.6,7.2,0.2,0.4,1.6,32,0
Bay,3/7/1994,1,9.9,7.1,0.2,0.9,9.7,59.36,15.2
Bay,3/14/1994,0.5,10.4,7.2,0.25,0.75,9.8,50.18,10.1
Bay,3/28/1994,1,9.2,7.1,0.15,0.95,16.1,71.78,22.1
Bay,4/4/1994,1,9.2,7.2,0.25,0.75,15,56.3,13.5
Bay,4/11/1994,1,8.6,7.3,0.2,0.75,15.7,55.4,13
Bay,4/18/1994,1,8.8,7.6,0.2,0.7,17.5,61.88,16.6
Bay,4/25/1994,1,10,7.9,0.2,0.5,19.3,71.78,22.1
Bay,5/2/1994,1.3,9.8,7.5,0.2,0.65,16.1,55.4,13
Bay,5/9/1994,1,10.1,7.9,0.25,0.75,18.8,67.1,19.5
Bay,5/16/1994,1,8.2,7.8,0.25,0.8,22.1,72.14,22.3
Bay,5/23/1994,1,10.8,9.1,0.05,0.05,21.7,75.74,24.3
Bay,5/30/1994,1,8.7,8.5,0.35,0.8,22.3,72.86,22.7
Bay,6/6/1994,1,9.4,8.6,0.35,0.8,23.8,78.26,25.7
Bay,6/13/1994,1.2,10.4,9,0.35,0.8,27.9,80.42,26.9
Bay,6/20/1994,1.5,9.8,9,0.35,0.7,29.5,86.9,30.5
Bay,6/27/1994,1.5,7.3,8.1,0.25,1.2,25.5,82.22,27.9
Bay,7/3/1994,2,10.7,9,0.4,0.9,28.5,82.4,28
Bay,6/25/1994,2,11,9.4,0.5,0.9,30.5,83.3,28.5
Bay,8/1/1994,2,10.7,9.2,0.45,0.75,29,77.9,25.5
Bay,8/8/1994,2,10.2,9.2,0.4,0.55,22,70.7,21.5
Bay,8/15/1994,2.3,6.9,8.8,0.45,0.9,24.5,68,20
Bay,8/22/1994,2,9.1,9.1,0.45,0.9,27,76.1,24.5
Bay,8/29/1994,2.3,9.8,9.3,0.45,0.75,27,80.6,27
Bay,9/5/1994,2.5,8.6,8.5,0.2,1.2,17,62.6,17
Bay,9/12/1994,2.5,7.9,8.4,0.35,0.6,21,66.2,19
Bay,9/19/1994,2.5,8.2,8.1,0.45,0.6,20.5,70.7,21.5
Bay,9/26/1994,2.25,6.9,8.1,0.45,0.8,23,73.4,23
Bay,10/10/1994,2.5,8.4,8.1,0.45,0.5,17,62.6,17
Bay,10/24/1994,2.5,7.4,7.6,0.35,0.85,18,66.2,19
Bay,11/7/1994,2.5,9,7.3,0.2,0.5,15,59,15
Bay,11/28/1994,2.8,9.4,7.7,0.25,0.65,13,63.5,17.5
Bay,12/12/1994,2.5,11.4,6.9,0.35,0.4,5,41,5
Bay,12/29/1994,3,10.4,6.9,0.15,0.4,8,49.1,9.5
Bay,1/22/1990,1,9.7,7.5,0.15,0.65,10,53.6,12
Bay,2/7/1990,3.4,10.8,7.5,0.2,0.6,10,50,10
Bay,2/12/1990,3.2,10.6,7,0.2,0.7,10,48.2,9
Bay,2/20/1990,4.2,11.6,7.5,0.15,0.39,5,41,5
Bay,2/27/1990,2.8,13.8,7,0.5,1.5,2.5,33.8,1
Bay,3/5/1990,2.9,11.6,7,0.2,0.4,7,47.3,8.5
Bay,3/12/1990,2.9,9,7,0.15,0.69,17,69.8,21
Bay,3/19/1990,2.8,7.8,7,0.22,0.92,15,57.2,14
Bay,3/26/1990,3,10.8,7,0.25,0.4,9.5,48.2,9
Bay,4/2/1990,1.8,9.6,8,0.15,0.7,5,59,15
Bay,4/9/1990,4.1,10.8,7,0.25,0.78,11,53.6,12
Bay,4/16/1990,2.5,9.7,7,0.25,0.72,15,57.2,14
Bay,4/23/1990,2.8,10.7,7,0.25,0.59,15,59,15
Bay,4/30/1990,3.2,10,7,0.88,1.3,18,60.8,16
Bay,5/7/1990,4.5,8.9,7,0.25,0.75,17,64.4,18
Bay,5/14/1990,3.7,8.4,7,0.32,1,20,66.2,19
Bay,5/29/1990,2.1,8.9,7,0.375,0.95,19,68,20
Bay,6/4/1990,3.5,6.9,7,0.4,1.22,24,77,25
Bay,6/11/1990,3.2,7.9,7,0.35,0.75,24,71.6,22
Bay,6/16/1990,3.2,7.7,7,0.32,0.62,23.5,68,20
Bay,6/24/1990,3.8,7.9,7,0.35,0.91,26,78.8,26
Bay,7/2/1990,3.7,7.8,7,0.35,0.78,24,74.3,23.5
Bay,7/9/1990,4.2,7.5,7.5,0.3,0.82,26,79.7,26.5
Bay,7/26/1990,4.2,6.9,7.75,0.375,0.48,27,78.8,26
Bay,8/6/1990,4.2,7.7,8,0.4,0.98,26,78.8,26
Bay,8/13/1990,4.2,7.8,8,0.35,0.82,27,80.6,27
Bay,8/27/1990,4.2,8.9,8,0.35,0.94,27,83.3,28.5
Bay,9/4/1990,2.9,8.1,8,0.25,0.68,23,75.2,24
Bay,9/17/1990,2.4,8.8,8,0.25,0.78,21,64.4,18
Bay,10/15/1990,3.5,8.2,8,0.3,0.93,23,71.6,22
Bay,10/29/1990,0.7,12.5,8,0.1,0.38,9,50,10
Bay,12/17/1990,0.5,11.05,7.5,0.25,0.6,8,46.4,8
Bay,1/7/1991,0.7,11.8,8,0.2,0.39,9,46.4,8
Bay,1/14/1991,0.4,12.2,8,0.2,0.65,4.5,39.2,4
Bay,1/24/1991,0.5,13.2,7.5,0.2,0.65,4.5,40.1,4.5
Bay,1/3/1991,0.5,11.9,7.5,0.25,0.78,9,51.8,11
Bay,2/11/1991,0.7,11.1,7.5,0.3,0.41,7.5,46.4,8
Bay,2/21/1991,1.2,10.8,7.5,0.2,0.72,12,50.9,10.5
Bay,2/25/1991,0.7,11.8,7.5,0.2,0.28,8,46.4,8
Bay,3/4/1991,1.2,10,7.5,0.2,1.6,15,60.8,16
Bay,3/11/1991,0.4,12.9,7.5,0.15,0.35,6,39.2,4
Bay,3/25/1991,0,9.8,8,0.275,0.94,14,55.4,13
Bay,4/4/1991,1.2,10.7,8,0.32,0.78,13,57.2,14
Bay,4/8/1991,2.1,8.7,8,0.32,0.83,19,69.8,21
Bay,4/15/1991,1.2,8.9,7.5,0.32,0.52,14,59.9,15.5
