Site_Id,Read_Date,Salinity (ppt),Dissolved Oxygen (mg/L),pH (standard units),Secchi Depth (m),Water Depth (m),Water Temp (?C),Air Temp (?F),AirTemp (C)
Bay,4/22/1991,0.9,9.75,7.5,0.2,0.55,12.5,55.4,13
Bay,4/29/1991,2.4,8.3,7.5,0.35,0.8,20.5,64.4,18
Bay,5/6/1991,2.6,8,7.5,0.35,0.95,21,74.3,23.5
Bay,5/20/1991,1.3,9.5,7.5,0.3,0.5,15.5,59,15
Bay,6/10/1991,3,6.9,7.5,0.3,0.7,23,78.8,26
Bay,6/17/1991,3.8,6.8,7.5,0.325,1.09,26,80.6,27
Bay,6/26/1991,2.8,8.1,7.5,0.25,0.7,21,70.7,21.5
Bay,7/9/1991,1.8,7.8,7.5,0.35,0.95,28,85.1,29.5
Bay,7/15/1991,0,8,7.5,0.99,0.375,27.5,82.4,28
Bay,8/2/1991,0.7,8,7.5,0.35,1.025,24.5,79.7,26.5
Bay,9/23/1991,1.8,8.5,8,0.31,0.52,20,69.8,21
Bay,10/4/1991,3.5,7.7,7.5,0.28,0.7,21,71.6,22
Bay,10/17/1991,9,9.7,7.5,0.2,0.65,13,51.8,11
Bay,11/7/1991,4.7,10.2,7.7,0.25,0.75,13,56.3,13.5
Bay,11/14/1991,6.2,11.3,7,0.15,0.8,12,56.3,13.5
Bay,11/21/1991,2.6,9.1,7,0.15,0.85,17,67.1,19.5
Bay,11/29/1991,3.3,10.8,7.5,0.25,0.6,12,59,15
Bay,12/9/1991,2,10.4,7.5,0.15,0.25,10,59,15
Bay,12/20/1991,1.4,15.1,8,0.2,0.3,2,35.6,2
Bay,12/27/1991,2.9,11.6,7.5,0.35,0.49,7,44.6,7
Bay,1/3/1992,2,11.8,7.5,0.28,0.45,10,53.6,12
Bay,1/9/1992,2.2,11.3,7.5,0.3,0.99,7.5,49.1,9.5
Bay,1/20/1992,1.4,12.6,7,0.2,0.58,2,32.9,0.5
Bay,1/30/1992,1.6,11.6,7,0.25,0.48,6,43.7,6.5
Bay,2/10/1992,2.4,14.2,7,0.25,0.3,3,39.2,4
Bay,2/17/1992,2,11.1,7,0.15,0.68,10,44.6,7
Bay,2/23/1992,2.4,10,7.5,0.15,0.68,12.5,54.5,12.5
Bay,3/2/1992,2.9,11.3,8,0.2,0.8,13,59.9,15.5
Bay,3/9/1992,3.5,10,7.5,0.25,0.75,16,64.4,18
Bay,3/23/1992,2.9,11.6,7.5,0.05,0.35,3,44.6,7
Bay,4/6/1992,3,11,7.5,0.25,0.42,9,50,10
Bay,4/13/1992,3.8,10.6,7.5,0.1,0.5,13,45.5,7.5
Bay,4/20/1992,4.7,9.4,7,0.2,0.78,17,55.4,13
Bay,4/27/1992,3.7,9.6,7,0.35,0.65,14,55.49,13.05
Bay,5/5/1992,3.8,8.9,7.5,0.2,0.6,15.5,50,10
Bay,5/11/1992,4.2,9.2,7.5,0.3,0.7,17.5,62.6,17
Bay,6/1/1992,5,9.4,7,0.4,0.9,20,68.9,20.5
Bay,6/8/1992,4.3,7.9,7,0.4,1.05,27.5,84.2,29
Bay,6/15/1992,5.1,7.8,8,0.4,0.8,25,84.2,29
Bay,6/22/1992,4.7,9,7.5,0.45,0.68,19,64.4,18
Bay,6/29/1992,4.5,0.8,7.5,0.4,0.8,26,78.8,26
Bay,7/6/1992,4.3,7.5,7.5,0.45,1,25,75.2,24
Bay,7/13/1992,5.1,7.3,7.5,0.35,0.95,28.5,87.8,31
Bay,7/27/1992,5.1,7.6,8,0.35,0.95,28,86.9,30.5
Bay,8/3/1992,4.5,8,8,0.3,0.85,26,78.8,26
Bay,8/7/1992,4.7,8,8,0.33,0.6,23,77,25
Bay,8/14/1992,4.7,7.1,7.5,0.4,0.95,24.5,71.6,22
Bay,8/23/1992,3.9,8.5,8,0.4,0.8,24.5,78.8,26
Bay,8/31/1992,4.3,7.7,7.5,0.3,1,23,77,25
Bay,9/14/1992,4.8,9.2,8,0.38,0.38,19.5,71.6,22
Bay,9/20/1992,4.3,7.6,7.5,0.35,0.8,23.5,75.2,24
Bay,9/27/1992,5.4,9.8,8,0.25,0.45,24,79.7,26.5
Bay,10/5/1992,3.9,9.2,7.5,0.1,0.15,16,62.6,17
Bay,10/19/1992,4.1,9.8,7.5,0.1,1,12,50,10
Bay,10/26/1992,4.2,10.6,7,0.3,0.63,12.5,55.4,13
Bay,11/2/1992,3.4,10.6,7.5,0.35,0.65,16.5,63.5,17.5
Bay,11/16/1992,3.9,11,7.5,0.4,0.55,7.5,41.9,5.5
Bay,11/23/1992,3.9,9,7.85,0.25,0.85,18.5,70.7,21.5
Bay,11/30/1992,3.7,10.9,7.5,0.55,0.7,9,46.4,8
Bay,12/17/1992,4.1,10.8,7,0.15,0.5,12,59.9,15.5
Bay,12/20/1992,3.8,10.1,7,0.25,0.85,10.5,50.9,10.5
Bay,12/27/1992,4.7,13.2,7,0.25,0.45,5.5,41.9,5.5
Bay,1/4/1993,3.7,11,7,0.35,0.5,8,60.8,16
Bay,1/11/1993,3.5,11.9,7,0.25,0.25,9,44.6,7
Bay,1/24/1993,3.3,10.5,7,0.3,0.95,10.5,58.1,14.5
Bay,2/1/1993,2.9,12,7,0.2,0.85,6,49.1,9.5
Bay,2/8/1993,3.4,12.6,7,0.1,0.3,5,41.9,5.5
Bay,2/16/1993,3.5,12.4,7,0.3,0.75,8,53.6,12
Bay,2/22/1993,2.9,12.7,7,0.1,0.85,8,59,15
Bay,3/8/1993,3.9,10.7,7,0.1,1.15,10,56.3,13.5
Bay,3/15/1993,3.4,12.8,7,0.5,1.7,2.5,34.7,1.5
Bay,3/22/1993,3.3,11.2,7,0.15,0.4,10,51.8,11
Bay,3/29/1993,3,10,7,0.5,0.7,14.5,54.5,12.5
Bay,4/5/1993,2.5,10,7,0.35,0.8,10,44.6,7
Bay,4/12/1993,2.5,9.7,7,0.3,1,15.5,60.8,16
Bay,4/19/1993,3,10,7,0.3,1.15,14.5,53.6,12
Bay,4/26/1993,3.4,8.7,7,0.3,1.2,19,69.8,21
Bay,5/10/1993,3.2,8,7,0.4,0.85,21,69.8,21
Bay,5/17/1993,3.9,8,7,0.5,1,24,77,25
Bay,5/24/1993,2.9,9,7,0.3,0.85,20,71.6,22
Bay,6/14/1993,3.9,8.1,7,0.45,0.45,21.5,68.9,20.5
Bay,6/21/1993,3.8,7.2,7,0.55,1,26.5,80.6,27
Bay,6/28/1993,3.9,7.1,7,0.55,0.8,26.5,86,30
Bay,7/19/1993,4.2,7.3,7.5,0.45,0.75,27,81.5,27.5
Bay,8/2/1993,3.9,8,8,0.4,0.8,26.5,86,30
Bay,8/9/1993,3.5,9.1,8,0.3,0.55,25.5,79.7,26.5
Bay,9/27/1993,1.8,7.2,7.9,0.4,0.95,24.5,76.1,24.5
Bay,10/12/1993,1.5,8.8,7.8,0.3,0.5,16.5,59,15
Bay,10/18/1993,1.5,8.8,7.7,0.35,0.75,18,64.94,18.3
Bay,10/25/1993,1.8,10.6,8.4,0.4,0.6,15.6,66.02,18.9
Bay,11/8/1993,1.5,8.2,7.5,0.35,0.55,9.8,52.34,11.3
Bay,11/15/1993,1.4,9.6,7.9,0.4,0.8,17.3,72.5,22.5
Bay,11/29/1993,1.5,9.4,7.1,0.2,0.55,12.1,50.9,10.5
Bay,12/6/1993,1.5,9.8,7.4,0.25,0.75,10.5,48.74,9.3
Bay,12/13/1993,1.5,13,7.6,0.25,0.45,1.3,41.9,5.5
Bay,12/28/1993,1.5,12.1,7.1,0.3,0.7,3.8,39.74,4.3
Bay,1/16/1995,3,8.5,7.4,0.25,0.85,13.5,61.7,16.5
Bay,1/23/1995,3,10.75,7.1,0.2,0.7,4.5,46.4,8
Bay,2/13/1995,3,12.5,6.8,0.2,0.25,2,29.3,-1.5
Bay,3/6/1995,2.4,9.3,7.1,0.2,0.2,9.5,46.4,8
Bay,3/13/1995,2.4,9.9,6.9,0.28,0.65,11.5,59.9,15.5
Bay,3/20/1995,2.8,8.9,7.1,0.35,0.45,12.5,54.5,12.5
Bay,3/27/1995,2.4,9,7.1,0.25,0.45,11,53.6,12
Bay,4/3/1995,2.4,9.3,7.1,0.4,0.55,11.5,54.5,12.5
Bay,4/10/1995,3.2,8.5,7.1,0.25,0.7,15,48.2,9
Bay,4/18/1995,3,9,7.1,0.25,0.5,16,58.1,14.5
Bay,4/24/1995,3,9.7,7.4,0.25,0.55,12.5,50,10
Bay,5/1/1995,3.2,8.9,7.2,0.3,0.6,15,52.7,11.5
Bay,5/15/1995,3.3,6.8,6.8,0.3,0.55,21.5,74.3,23.5
Bay,5/22/1995,3.3,6.8,6.8,0.3,0.55,21.5,74.3,23.5
Bay,5/29/1995,3.5,8.5,7.5,0.4,0.4,22,80.6,27
Bay,6/5/1995,4,7.8,7.6,0.3,0.3,25,73.4,23
Bay,6/12/1995,3.5,7.7,7.9,0.4,0.9,26.5,77.9,25.5
Bay,6/19/1995,3.2,7.7,8,0.4,0.55,25,75.2,24
Bay,6/26/1995,4,8.8,8.3,0.5,0.8,28.5,82.4,28
Bay,7/10/1995,4,7,7.9,0.35,0.7,26,79.7,26.5
Bay,7/17/1995,4,7,8,0.45,1,30,84.2,29
Bay,7/24/1995,4.5,7.2,8.4,0.55,0.9,32,92.3,33.5
Bay,7/31/1995,4.5,7.6,8.1,0.5,0.8,29.5,84.2,29
Bay,8/7/1995,4.5,8.7,8.2,0.5,0.6,24,71.6,22
Bay,8/22/1995,5.5,7.4,8.8,0.3,0.5,25,81.5,27.5
Bay,8/29/1995,4.5,9.9,8.7,0.35,0.65,25.5,78.8,26
Bay,9/5/1995,4.8,10.5,9,0.3,0.75,26,80.6,27
Bay,9/12/1995,4.5,10.4,9.2,0.3,0.7,24.5,80.6,27
Bay,9/28/1995,4.8,9.5,8.7,0.3,0.7,21,75.2,24
Bay,10/5/1995,4.4,9.9,7.2,0.3,0.45,15.5,62.96,17.2
Bay,10/6/1995,5,8.9,8.5,0.45,1.15,24.5,81.5,27.5
Bay,10/11/1995,2.4,8.69,7.2,0.3,0.75,17.5,58.64,14.8
Bay,10/20/1995,2.2,9.71,7.6,0.35,0.73,15,56.48,13.6
Bay,10/23/1995,4.5,11.6,9,0.4,0.8,18.5,68.9,20.5
Bay,10/26/1995,2.8,8.15,6.7,0.38,0.75,19,67.28,19.6
Bay,10/30/1995,4.5,9.9,8.5,0.45,0.75,14,59.9,15.5
Bay,11/6/1995,4,11.8,8.5,0.55,0.55,9.5,51.8,11
Bay,11/13/1995,4.5,11.3,8.1,0.55,0.7,9.5,57.2,14
Bay,11/20/1995,4,11.8,8.4,0.55,0.55,8,50.9,10.5
Bay,11/27/1995,4,9.5,8.1,0.75,0.75,10,48.2,9
Bay,1/22/1996,4,11.7,7.4,0.4,0.55,4,39.2,4
Bay,1/29/1996,3.5,11.2,7.2,0.35,0.65,4,42.8,6
Bay,2/12/1996,3.5,10.8,7.1,0.35,0.6,5,44.6,7
Bay,2/26/1996,3,8.7,7.1,0.2,0.75,10.5,60.8,16
Bay,3/4/1996,3,11.5,7.4,0.3,0.45,3.5,38.3,3.5
Bay,3/18/1996,3,10.1,7,0.4,0.45,7.5,44.6,7
Bay,3/25/1996,3,10,7.2,0.35,0.7,10,61.7,16.5
Bay,4/8/1996,3,10.7,7.3,0.35,0.55,8,42.8,6
Bay,4/22/1996,3,9.2,8.2,0.4,0.95,21,71.6,22
Bay,4/29/1996,3,8.9,8,0.45,0.85,18,69.8,21
Bay,5/13/1996,3,9.2,8.1,0.3,0.7,17,57.2,14
Bay,5/20/1996,3,9,8.8,0.4,0.75,28,86,30
Bay,5/27/1996,3,9.6,8.6,0.25,0.6,19,63.5,17.5
Bay,6/3/1996,3,8.7,8.5,0.35,0.5,17,59.9,15.5
Bay,6/10/1996,3,8,8.1,0.45,1.02,24,67.1,19.5
Bay,6/17/1996,3,8.8,8.4,0.45,0.75,27,77,25
Bay,6/24/1996,3,8,8.6,0.55,0.8,26.5,77,25
Bay,10/5/1996,4.4,9.9,7.2,0.3,0.45,15.5,62.96,17.2
Bay,10/11/1996,2.4,8.69,7.2,0.3,0.75,17.5,58.64,14.8
Bay,10/20/1996,2.2,9.71,7.6,0.35,0.73,15,56.48,13.6
Bay,10/26/1996,2.8,8.15,6.7,0.38,0.75,19,67.28,19.6
Bay,11/3/1996,2,6.5,6.8,0.48,0.58,10.1,48.74,9.3
Bay,11/12/1996,1.9,11.43,7.1,0.45,0.55,6.2,41.414,5.23
Bay,11/17/1996,1.8,11.8,6.8,0.28,0.3,9.1,51.44,10.8
Bay,12/1/1996,1.9,10.9,6.9,0.4,0.6,11,63.5,17.5
Bay,12/8/1996,1.6,11.2,6.9,0.4,0.65,9.1,51.08,10.6
Bay,12/21/1996,1.8,12.25,6.9,0.31,0.61,5.21,38.3,3.5
Bay,1/5/1997,2,9.2,6.7,0.2,0.7,13.5,63.32,17.4
Bay,2/1/1997,1.5,10.9,6.6,2.5,3.5,10.1,62.06,16.7
Bay,2/15/1997,1.3,10.55,6.6,0.3,0.6,8.2,41,5
Bay,3/3/1997,1.8,9.45,6.9,0.3,0.54,14.1,48.02,8.9
Bay,3/15/1997,1.2,10.2,6.5,0.2,0.52,13.2,47.66,8.7
Bay,4/13/1997,1.2,9.8,6.9,0.28,0.74,17.1,68.18,20.1
Bay,4/19/1997,1.3,10.8,6.7,0.2,0.49,11,59.54,15.3
Bay,4/26/1997,1.1,10.1,6.8,0.25,0.55,15.5,59.36,15.2
Bay,5/4/1997,1.1,9.73,6.5,0.3,0.88,18,61.52,16.4
Bay,5/16/1997,1.3,10.2,6.6,0.35,0.7,20.5,68.36,20.2
Bay,5/24/1997,1.6,9.9,7.5,0.38,0.5,23,72.14,22.3
Bay,6/8/1997,1,10.5,6.3,0.1,0.15,18,61.7,16.5
Bay,6/21/1997,1.5,7.5,6.5,0.4,0.7,26.5,84.02,28.9
Bay,6/27/1997,1.5,8.5,8,0.5,0.62,29,78.4,25.77777778
Bay,7/6/1997,1.5,7.6,6.8,0.48,0.68,27,76.46,24.7
Bay,7/12/1997,1.5,8.55,6.4,0.4,0.4,27,80.06,26.7
Bay,7/20/1997,1.6,8.7,7.4,0.39,0.58,27.5,83.48,28.6
Bay,7/27/1997,1.5,9.7,7.8,0.38,0.69,27,86.72,30.4
Bay,7/29/1997,1.5,8.1,8,0.4,0.65,28,82,27.77777778
Bay,8/9/1997,1.7,9.8,8.6,0.38,0.5,27.5,78.62,25.9
Bay,8/15/1997,1.7,7.7,8.2,0.45,0.63,8.4,82.6,28.11111111
Bay,8/22/1997,1.7,9,8.2,0.38,0.67,25.5,77.7,25.38888889
Bay,8/30/1997,1.8,9.6,8.1,0.32,0.45,26,78.98,26.1
Bay,9/14/1997,1.9,9.6,7.9,0.21,0.61,24,78.62,25.9
Bay,10/5/1997,1.9,10.25,8.2,0.28,0.65,21.6,74.12,23.4
Bay,11/9/1997,1.8,10.6,6.5,0.35,0.65,12,51.62,10.9
Bay,12/6/1997,1.5,14.3,6.9,0.3,0.45,6,40.1,4.5
Bay,1/4/1998,1.5,12.3,6.4,0.25,0.5,8.9,57.2,14
Bay,1/25/1998,1.2,12.5,6.5,0.3,0.6,8.1,45.86,7.7
Bay,3/22/1998,1,11.1,6.4,0.25,0.71,11,48.74,9.3
Bay,5/2/1998,1,10.9,8.2,0.35,0.78,21.5,72.5,22.5
Bay,5/17/1998,1.1,9.3,6.8,0.25,0.48,23.5,80.78,27.1
Bay,6/14/1998,0.9,9.7,6.8,0.4,0.65,26,79.88,26.6
Bay,7/5/1998,1,8.4,6.9,0.32,0.65,26,82.04,27.8
Bay,7/25/1998,0.9,8.6,7.3,0.4,0.65,29,81.32,27.4
Bay,8/23/1998,1,11,8.8,0.3,0.62,28,85.1,29.5
Bay,9/12/1998,0.9,10.8,8.5,0.28,0.66,25,87.1,30.61111111
Bay,11/2/1998,1.1,10,6.9,0.3,0.35,14,58.28,14.6
Bay,11/21/1998,1,10.9,7.3,0.3,0.48,15,57.56,14.2
A,8/11/1999,3,2.6,7.7,0.6,0.6,26,80.96,27.2
A,9/8/1999,1.8,1.35,8.2,0.4,1,28,76.6,24.77777778
A,12/30/1999,1,7.8,6.9,0.65,0.85,8,42.8,6
B,8/11/1999,2.5,3.1,8.1,0.25,0.25,27,80.96,27.2
B,12/30/1999,0.2,6.1,6.9,0.25,0.25,7,41,5
C,8/11/1999,3,1.9,8.5,0.5,0.5,27,84.2,29
C,9/22/1999,1,3.7,7.8,0.8,0.8,18,60,15.55555556
C,10/27/1999,0,3.7,7.7,0.55,0.55,43,72,22.22222222
C,12/30/1999,0.1,7.3,6.9,0.7,0.7,5,41,5
D,8/11/1999,0.2,2.5,8.6,0.63,1.25,27,85.46,29.7
D,10/27/1999,0.4,3.4,7.4,0.95,1.35,42.5,72,22.22222222
D,11/10/1999,0,6.5,8,1.05,1.5,15,60,15.55555556
D,12/16/1999,0,7.8,8.9,0.8,1.4,11,49,9.444444444
D,12/30/1999,0,8.25,8,1.1,1.4,5,41,5
Bay,1/9/1999,1.2,11.2,7.2,0.28,0.5,9,58.82,14.9
Bay,8/11/1999,3,7,9.2,0.4,0.65,28,86.54,30.3
Bay,9/8/1999,2.2,1.9,8.5,0.9,0.95,28,76.6,24.77777778
Bay,10/15/1999,2,4.8,5.7,0.42,0.5,16,65,18.33333333
Bay,11/10/1999,1,7.5,8.1,5.5,5.5,14,60,15.55555556
Bay,12/16/1999,1,8.7,9.1,0.5,0.85,11,48,8.888888889
Bay,12/30/1999,0.1,6.1,7,0.25,0.45,5,41,5
A,2/29/2000,1.5,5,8.1,0.9,1.1,15,58,14.44444444
A,5/1/2000,0.5,3.6,7.1,0.9,1,23,75,23.88888889
A,5/15/2000,1,6.4,8.2,0.85,0.9,27,71,21.66666667
A,6/26/2000,1,5.5,8,0.55,0.55,30.5,84.2,29
A,7/24/2000,0.05,6.1,8,0.55,0.55,25,78,25.55555556
A,8/22/2000,0,5.2,7.5,0.65,0.65,25,72,22.22222222
A,10/4/2000,1.1,8.7,8.3,0.55,0.7,35,84,28.88888889
A,11/1/2000,0,9.75,8.2,0.65,0.65,16,58,14.44444444
A,12/18/2000,1,9.9,8.2,0.7,0.7,9,44,6.666666667
B,2/2/2000,1,6.4,7.1,0.35,0.35,5,46,7.777777778
B,3/13/2000,1.5,10,7.8,0.3,0.3,12.5,48,8.888888889
B,5/1/2000,1,3.5,7.5,0.15,0.15,25.5,75,23.88888889
B,5/15/2000,1.5,7.6,9.7,4,4.5,30,71,21.66666667
B,6/26/2000,1,8.3,8.8,0.05,0.1,30,82.4,28
B,7/24/2000,1,1.8,7.5,0,0.15,24,78,25.55555556
B,8/22/2000,0,2.4,7.8,0.35,0.35,22,71,21.66666667
B,9/18/2000,0.8,7.6,7.9,0.1,0.1,20,70,21.11111111
B,10/4/2000,1,8.5,8.5,0.1,0.1,30,84,28.88888889
B,11/1/2000,1,5.5,8.1,0.1,0.11,14,58,14.44444444
B,12/18/2000,1.5,7.2,7.9,0.2,0.4,7.5,43.4,6.333333333
C,2/2/2000,1,5.9,6.9,0.65,0.81,4,45,7.222222222
C,5/30/2000,0.5,7.9,8,0.5,0.5,15,58,14.44444444
C,6/13/2000,1,8.2,9.5,0.4,0.4,28,73,22.77777778
C,7/11/2000,0.01,5.7,8.2,0.5,0.5,32,80.6,27
C,8/10/2000,0,6.3,6.7,0.6,0.6,29,83,28.33333333
C,9/6/2000,0,6.3,8.1,0.55,0.55,21,72,22.22222222
C,10/26/2000,0.5,6.2,8.4,0.25,0.25,21.5,67,19.44444444
C,11/14/2000,1,6,7.4,0.3,0.3,13,55,12.77777778
C,12/11/2000,1,6.5,8.1,0.1,0.1,7.5,45,7.222222222
D,2/2/2000,0,7.1,7.2,1.4,1.4,4,45,7.222222222
D,2/29/2000,0,6.9,7,0.9,0.95,14,62,16.66666667
D,5/30/2000,0,6.3,8.2,0.1,1.6,15,50,10
D,7/11/2000,0,4.4,8.6,0.65,1.6,27,78.8,26
D,8/10/2000,0,4.1,5.6,0.65,1.6,28,83,28.33333333
D,9/6/2000,0,5,8.5,0.7,1.65,21,71.6,22
D,10/26/2000,0,8.5,8.8,0.7,1.05,19.5,66,18.88888889
D,11/14/2000,0,6.2,9,0.7,1.4,13,55,12.77777778
D,12/11/2000,0,10,9.3,1.1,1.3,7,45,7.222222222
Bay,2/2/2000,1.5,6.1,7.2,0.05,0.4,3,43,6.111111111
Bay,3/13/2000,1.5,9.75,8.6,0.45,0.5,12,45,7.222222222
Bay,5/1/2000,1,4.1,7.9,0.3,0.65,19.5,75,23.88888889
Bay,5/15/2000,1.2,8,8.7,0.4,0.45,23,71,21.66666667
Bay,6/13/2000,1.5,7.3,8.4,0.4,0.64,26,73.7,23.16666667
Bay,6/26/2000,1.5,7,8.5,0.5,0.85,26,83,28.33333333
Bay,7/11/2000,1,5,8.6,0.4,0.8,27,77,25
Bay,7/24/2000,1,6.4,8.2,0.4,0.55,25,78,25.55555556
Bay,8/10/2000,1.5,6,8.1,0.6,0.68,28,83,28.33333333
Bay,8/22/2000,1,7.1,8.7,0.3,0.45,22,71,21.66666667
Bay,9/6/2000,1,5.2,8.6,0.2,0.45,20,72,22.22222222
